(getValue,GetValue)
(getR,GetR)
(getG,GetG)
(getB,GetB)
(getA,GetA)
(setR,SetR)
(setG,SetG)
(setB,SetB)
(setA,SetA)
(setValue,SetValue)
(success,ReturnCallback)
(getLength,GetLength)
(getSeparator,GetSeparator)
(setSeparator,SetSeparator)
(Number,Number)
(String,String)
(Color,Color)
(Boolean,Boolean)
(List,List)
(Map,Map)
(Null,Null)
(Error,Error)
(getKey,GetKey)
(setKey,SetKey)
(render,render)
(renderSync,render_sync)
(renderFile,render_file)
(renderFileSync,render_file_sync)
(libsassVersion,libsass_version)
(getUnit,GetUnit)
(setUnit,SetUnit)
(start,FSEvents)
(stop,FSEvents)
