(getPrinters,getPrinters)
(getDefaultPrinterName,getDefaultPrinterName)
(getPrinter,getPrinter)
(getPrinterDriverOptions,getPrinterDriverOptions)
(getJob,getJob)
(setJob,setJob)
(printDirect,PrintDirect)
(printFile,PrintFile)
(getSupportedPrintFormats,getSupportedPrintFormats)
(getSupportedJobCommands,getSupportedJobCommands)
(id,isolate)
(name,isolate)
(printerName,isolate)
(user,isolate)
(format,isolate)
(priority,isolate)
(size,isolate)
(isDefault,isolate)
(instance,isolate)
(machineName,isolate)
(document,isolate)
(notifyName,isolate)
(printProcessor,isolate)
(parameters,isolate)
(driverName,isolate)
(position,isolate)
(startTime,isolate)
(untilTime,isolate)
(totalPages,isolate)
(time,isolate)
(pagesPrinted,isolate)
(error,isolate)
(serverName,isolate)
(shareName,isolate)
(portName,isolate)
(comment,isolate)
(location,isolate)
(sepFile,isolate)
(datatype,isolate)
(statusNumber,isolate)
(defaultPriority,isolate)
(averagePPM,isolate)
