(createConnection,CreateConnection)
(createConnectionSync,CreateConnectionSync)
(execute,Execute)
(executeSync,ExecuteSync)
(executeDirect,ExecuteDirect)
(executeDirectSync,ExecuteDirectSync)
(executeNonQuery,ExecuteNonQuery)
(executeNonQuerySync,ExecuteNonQuerySync)
(prepare,Prepare)
(prepareSync,PrepareSync)
(bind,Bind)
(bindSync,BindSync)
(closeSync,CloseSync)
(connected,ConnectedGetter)
(open,Open)
(openSync,OpenSync)
(close,Close)
(createStatement,CreateStatement)
(createStatementSync,CreateStatementSync)
(query,Query)
(querySync,QuerySync)
(beginTransaction,BeginTransaction)
(beginTransactionSync,BeginTransactionSync)
(endTransaction,EndTransaction)
(endTransactionSync,EndTransactionSync)
(setIsolationLevel,SetIsolationLevel)
(columns,Columns)
(tables,Tables)
(fetchAll,FetchAll)
(fetch,Fetch)
(moreResultsSync,MoreResultsSync)
(fetchSync,FetchSync)
(fetchAllSync,FetchAllSync)
(getColumnNamesSync,GetColumnNamesSync)
(0,js_result)
