(fetchAll,FetchAll)
(fetch,Fetch)
(moreResultsSync,MoreResultsSync)
(closeSync,CloseSync)
(fetchSync,FetchSync)
(fetchAllSync,FetchAllSync)
(getColumnNamesSync,GetColumnNamesSync)
(getColumnMetadataSync,GetColumnMetadataSync)
(getRowCountSync,GetRowCountSync)
(execute,Execute)
(executeSync,ExecuteSync)
(executeDirect,ExecuteDirect)
(executeDirectSync,ExecuteDirectSync)
(executeNonQuery,ExecuteNonQuery)
(executeNonQuerySync,ExecuteNonQuerySync)
(prepare,Prepare)
(prepareSync,PrepareSync)
(bind,Bind)
(bindSync,BindSync)
(createConnection,CreateConnection)
(createConnectionSync,CreateConnectionSync)
(connected,ConnectedGetter)
(open,Open)
(openSync,OpenSync)
(close,Close)
(createStatement,CreateStatement)
(createStatementSync,CreateStatementSync)
(query,Query)
(querySync,QuerySync)
(beginTransaction,BeginTransaction)
(beginTransactionSync,BeginTransactionSync)
(endTransaction,EndTransaction)
(endTransactionSync,EndTransactionSync)
(columns,Columns)
(tables,Tables)
(rows,data)
