(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(supportedDataFormats,SupportedDataFormatsGetter)
(supportedFileTypes,SupportedFileTypesGetter)
(castFrom,CastFrom)
(removeThisQuickLink,RemoveThisQuickLink)
(reportStarted,ReportStarted)
(reportDataRetrieved,ReportDataRetrieved)
(reportSubmittedBackgroundTask,ReportSubmittedBackgroundTask)
(reportCompleted,ReportCompleted)
(reportError,ReportError)
(dismissUI,DismissUI)
(data,DataGetter)
(quickLinkId,QuickLinkIdGetter)
(contacts,ContactsGetter)
