(send,send<isServer>)
(close,closeSocket<isServer>)
(terminate,terminateSocket<isServer>)
(prepareMessage,prepareMessage<isServer>)
(sendPrepared,sendPrepared<isServer>)
(finalizeMessage,finalizeMessage<isServer>)
(onConnection,onConnection<isServer>)
(onMessage,onMessage<isServer>)
(onDisconnection,onDisconnection<isServer>)
(onError,onError)
(forEach,forEach)
(getSize,getSize)
(startAutoPing,startAutoPing)
(listen,listen)
(onPing,onPing<isServer>)
(onPong,onPong<isServer>)
(create,createGroup<isServer>)
(delete,deleteGroup<isServer>)
(close,closeGroup<isServer>)
(terminate,terminateGroup<isServer>)
(broadcast,broadcast<isServer>)
(getSSLContext,getSSLContext)
(setUserData,setUserData<cWS::SERVER>)
(getUserData,getUserData<cWS::SERVER>)
(clearUserData,clearUserData<cWS::SERVER>)
(getAddress,getAddress<cWS::SERVER>)
(transfer,transfer)
(upgrade,upgrade)
(connect,connect)
(setNoop,setNoop)
